"startup_id","industry","country","year_founded","years_since_founding","funding_rounds","total_funding_m","annual_revenue_m","team_size","valuation_m"
"ST0386","HealthTech","India",2014,10,6,91.76,55.11,798,635.21
"ST0387","HealthTech","Brazil",2012,12,2,71.71,84.27,730,609.09
"ST0388","FinTech","USA",2003,21,6,185.77,76.02,670,1358.91
"ST0389","AI/ML","Israel",2016,8,7,309.28,7.49,476,731.14
"ST0390","AI/ML","Germany",2001,23,6,121.29,129.94,769,1340.65
"ST0391","E-Commerce","UK",2001,23,4,241.87,48.9,236,479.86
"ST0392","BioTech","USA",2002,22,4,126.29,30.75,666,600.15
"ST0393","CleanTech","India",2012,12,7,349.45,25.43,536,865.58
"ST0394","FinTech","India",2021,3,4,112.79,5.67,507,445.56
"ST0395","FinTech","Germany",2002,22,4,179.75,3.48,137,2043.44
"ST0396","FinTech","Brazil",2004,20,5,314.63,53.3,492,1457.18
"ST0397","CleanTech","Singapore",2018,6,5,127.07,94.24,531,639.31
"ST0398","CleanTech","India",2020,4,5,308.42,21.97,454,544.75
"ST0399","AI/ML","USA",2018,6,2,263.33,27.89,536,1278.58
"ST0400","E-Commerce","USA",2008,16,7,115.12,504.31,798,682.68
"ST0401","SaaS","UK",2005,19,7,848.21,304.99,543,1382.04
"ST0402","HealthTech","USA",2000,24,5,27.95,6.83,456,183.23
"ST0403","AI/ML","India",2014,10,6,207.93,27.48,467,853.98
"ST0404","CleanTech","UK",2000,24,6,130.28,10.46,200,452.47
"ST0405","BioTech","USA",2008,16,2,102.08,86.77,733,663.79
"ST0406","EdTech","Israel",2016,8,4,127.86,0.86,5,134.85
"ST0407","CleanTech","USA",2002,22,4,74.18,22.83,427,254.48
"ST0408","BioTech","USA",2004,20,5,253.71,26.2,726,961.02
"ST0409","FinTech","USA",2016,8,6,2665.32,NA,382,2717.24
"ST0410","HealthTech","USA",2014,10,2,14.04,2.02,65,119.93
"ST0411","AI/ML","Canada",2019,5,4,79.41,16.07,184,545.33
"ST0412","BioTech","USA",2006,18,1,133.45,14.08,496,821.42
"ST0413","CleanTech","India",2015,9,3,46.68,37.06,279,190.43
"ST0414","E-Commerce","Brazil",2011,13,4,61.15,34.41,188,229.78
"ST0415","EdTech","USA",2005,19,2,66.93,43.49,600,154.32
"ST0416","CleanTech","USA",2017,7,2,170.99,2.21,98,402.46
"ST0417","EdTech","USA",2006,18,1,22.12,9.6,5,77.92
"ST0418","E-Commerce","Israel",2016,8,3,214.22,44.57,255,232.7
"ST0419","AI/ML","India",2008,16,4,153.65,16.17,554,961.83
"ST0420","EdTech","India",2003,21,8,638.45,49.37,419,1003.1
"ST0421","SaaS","UK",2015,9,6,437.02,330.07,710,1896.18
"ST0422","SaaS","UK",2009,15,3,54.7,8.96,337,343.23
"ST0423","FinTech","Germany",2000,24,3,124.02,13.9,186,579
"ST0424","FinTech","USA",2008,16,2,105.17,NA,5,840.59
"ST0425","AI/ML","India",2006,18,5,233.53,263.86,564,2647.94
"ST0426","CleanTech","USA",2013,11,5,175.53,32.73,350,324.71
"ST0427","AI/ML","India",2014,10,3,105.77,5.41,84,687.95
"ST0428","AI/ML","USA",2021,3,6,270.71,18.07,158,1293.46
"ST0429","BioTech","India",2016,8,4,102.3,24.37,258,222.35
"ST0430","HealthTech","Singapore",2005,19,5,123.39,69.46,798,747.87
"ST0431","CleanTech","USA",2000,24,6,417.67,199.37,656,960.91
"ST0432","HealthTech","USA",2017,7,3,85.32,47.51,781,509.08
"ST0433","FinTech","USA",2010,14,4,165.42,22.83,430,785.84
"ST0434","BioTech","USA",2019,5,2,58.29,1.03,128,277.58
"ST0435","SaaS","Brazil",2016,8,2,285.17,5.29,NA,440.33
"ST0436","CleanTech","USA",2017,7,6,436.06,51.23,5,515.95
"ST0437","SaaS","USA",2013,11,1,34.17,11.74,152,150.64
"ST0438","HealthTech","USA",2015,9,4,249.62,71.61,110,628.16
"ST0439","AI/ML","UK",2020,4,3,162.16,11.86,5,968.99
"ST0440","FinTech","Canada",2005,19,6,241,NA,103,842.81
"ST0441","EdTech","Israel",2016,8,5,750.15,25.72,273,974.04
"ST0442","AI/ML","UK",2014,10,4,427.11,11.87,201,1114.83
"ST0443","AI/ML","Israel",2021,3,6,1133.13,240.96,414,5924.82
"ST0444","CleanTech","USA",2001,23,2,45.33,20.54,179,200.25
"ST0445","BioTech","Singapore",2020,4,4,1604,8.05,160,1829.09
"ST0446","AI/ML","USA",2008,16,2,26.12,62.71,575,547.67
"ST0447","FinTech","India",2004,20,4,228.5,5.46,130,652.71
"ST0448","BioTech","USA",2006,18,4,148.36,16.03,224,680.86
"ST0449","SaaS","Israel",2000,24,6,125.13,21.15,323,299.8
"ST0450","AI/ML","USA",2007,17,4,497.01,66.43,360,1392.59
"ST0451","CleanTech","USA",2019,5,3,59.73,23.28,262,126.73
"ST0452","FinTech","Israel",2020,4,4,89.69,75.33,565,550.64
"ST0453","AI/ML","USA",2009,15,5,547.85,9.86,188,1874.38
"ST0454","BioTech","USA",2019,5,3,106.33,7.04,370,425.33
"ST0455","E-Commerce","USA",2001,23,6,243.72,20.07,394,399.21
"ST0456","E-Commerce","Singapore",2003,21,2,80.04,66.91,489,381.12
"ST0457","AI/ML","Brazil",2018,6,7,395.92,163.06,605,1631.21
"ST0458","AI/ML","UK",2005,19,6,251.86,23.29,NA,1744.72
"ST0459","FinTech","USA",2015,9,8,1004.85,34.55,798,3446.13
"ST0460","CleanTech","USA",2005,19,3,115.61,25.93,314,272.57
"ST0461","EdTech","India",2011,13,6,111.19,62.76,548,364.66
"ST0462","AI/ML","Israel",2016,8,8,610.75,68.58,739,1979.07
"ST0463","AI/ML","Canada",2021,3,4,264.63,3.39,167,1396.97
"ST0464","FinTech","Germany",2017,7,3,25.55,3.6,5,291.12
"ST0465","HealthTech","India",2013,11,3,54.53,3.17,396,226.03
"ST0466","HealthTech","USA",2004,20,6,135.14,836.46,699,1617.17
"ST0467","HealthTech","Singapore",2003,21,7,1073.86,271.44,798,2549.3
"ST0468","BioTech","Israel",2012,12,6,275.11,7.37,NA,925.47
"ST0469","SaaS","Germany",2018,6,4,21.77,0.1,55,155.4
"ST0470","CleanTech","Germany",2019,5,4,60.36,NA,749,422.27
"ST0471","SaaS","Singapore",2003,21,5,222.87,21.37,197,400.64
"ST0472","SaaS","Canada",2015,9,3,43.34,5.92,99,260.78
"ST0473","EdTech","UK",2009,15,7,185.67,79.67,605,302.64
"ST0474","BioTech","Germany",2020,4,2,19.87,NA,688,304.96
"ST0475","EdTech","USA",2012,12,5,314.38,22.43,798,566.12
"ST0476","AI/ML","Canada",2011,13,3,383.8,10.58,450,2293.84
"ST0477","CleanTech","USA",2004,20,4,72.42,NA,295,415.85
"ST0478","E-Commerce","USA",2002,22,4,124.89,35.88,456,499.72
"ST0479","AI/ML","USA",2013,11,3,216.53,16.86,523,1251.81
"ST0480","BioTech","UK",2000,24,3,738.89,5.73,89,948.87
"ST0481","EdTech","USA",2015,9,2,175.62,5.61,597,365.36
"ST0482","CleanTech","USA",2014,10,4,10.78,1.9,5,191.34
"ST0483","BioTech","Singapore",2006,18,3,42.08,101.19,479,366.79
"ST0484","BioTech","India",2011,13,1,12.79,14.92,45,170.59
"ST0485","SaaS","USA",2001,23,6,298.98,1.83,130,652.16
"ST0486","CleanTech","Singapore",2011,13,4,199.84,111.77,419,945.88
"ST0487","E-Commerce","Brazil",2003,21,5,112.19,43.14,689,361.74
"ST0488","FinTech","UK",2017,7,1,22.53,47.88,798,246.15
"ST0489","SaaS","Germany",2019,5,2,237.65,49.92,771,1433.9
"ST0490","SaaS","UK",2002,22,6,150.59,153.62,350,833.66
"ST0491","HealthTech","Brazil",2002,22,4,250.39,15.81,394,1118.46
"ST0492","AI/ML","USA",2007,17,4,212.01,22.1,413,1040.14
"ST0493","SaaS","UK",2020,4,5,275.16,5.15,262,795.72
"ST0494","EdTech","India",2007,17,7,712.55,156.45,798,1892.66
"ST0495","CleanTech","Germany",2018,6,3,192.84,15.99,429,357.99
"ST0496","AI/ML","Canada",2015,9,5,739.65,37.47,227,2347.88
"ST0497","SaaS","USA",2005,19,6,421.47,6.44,294,428.24
"ST0498","E-Commerce","Singapore",2004,20,1,65.79,86.62,524,264.5
"ST0499","HealthTech","India",2006,18,5,103.46,7.25,178,270.97
"ST0500","SaaS","India",2000,24,5,81.66,26.15,215,336.7
